Validating models...

0 errors found
April 03, 2014 - 23:08:03
Django version 1.6.2, using settings 'iD_django.settings'
Starting development server at http://0.0.0.0:8081/
Quit the server with CONTROL-C.
[03/Apr/2014 23:08:25] "GET /static/js/id/ui/splash.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:25] "GET /static/js/id/ui/spinner.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:25] "GET /static/js/id/ui/restore.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:25] "GET /static/js/id/ui/tag_reference.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:25] "GET /static/js/id/ui/preset.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:25] "GET /static/js/id/ui/preset_icon.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:25] "GET /static/js/id/ui/lasso.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:25] "GET /static/js/id/ui/source_switch.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:25] "GET /static/js/id/ui/status.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:25] "GET /static/js/id/ui/toggle.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:25] "GET /static/js/id/ui/undo_redo.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:25] "GET /static/js/id/ui/zoom.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:25] "GET /static/js/id/ui/taglist.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:25] "GET /static/js/id/ui/preset_grid.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:25] "GET /static/js/id/ui/tag_editor.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:25] "GET /static/js/id/ui/tail.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:25] "GET /static/js/id/ui/preset/access.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:25] "GET /static/js/id/ui/preset/address.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:25] "GET /static/js/id/ui/preset/check.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:25] "GET /static/js/id/ui/preset/combo.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:25] "GET /static/js/id/ui/preset/defaultcheck.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:25] "GET /static/js/id/ui/preset/localized.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:25] "GET /static/js/id/ui/preset/input.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:25] "GET /static/js/id/ui/preset/maxspeed.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:25] "GET /static/js/id/ui/preset/radio.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:25] "GET /static/js/id/ui/preset/textarea.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:25] "GET /static/js/id/ui/preset/wikipedia.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:25] "GET /static/js/id/ui/intro/navigation.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:25] "GET /static/js/id/ui/intro/area.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:25] "GET /static/js/id/ui/intro/point.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:25] "GET /static/js/id/ui/intro/line.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:26] "GET /static/js/id/ui/intro/start_editing.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:26] "GET /static/js/id/actions.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:26] "GET /static/js/id/actions/add_midpoint.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:26] "GET /static/js/id/actions/add_entity.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:26] "GET /static/js/id/actions/add_vertex.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:26] "GET /static/js/id/actions/change_tags.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:26] "GET /static/js/id/actions/connect.js HTTP/1.1" 304 0
